Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Pup OB2               ;Pup ;119.11163370 ;-27.3116861 ;Op   ;OC    ;  245.5;   4016;   -1.95;    1.92;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1428, FoF 1429, UBC 640, FoF 946, FoF 941
Theia 58              ;Pup ;119.93863980 ;-29.6430224 ;Op   ;Str   ; 1688.8;    497;   -8.71;    5.35;   30.88; 2019AJ....158..122K ;many condensations
Collinder 173         ;Pup ;120.70416670 ;-46.3833333 ;Op   ;OB    ;  370.0;    421;        ;        ;        ; Alessi              ;check - many poss IDs  
Vel OB2               ;Pup ;120.74498670 ;-46.9753772 ;Op   ;OC    ;  541.5;    395;   -7.00;    7.90;        ; Alessi (Gaia DR2)   ;poss matches: BBJ 2, UPK 507, UPK 515, Pozzo 1, Vela Ring B
AWJ 259.00-03.25      ;Pup ;124.68416700 ;-41.7405560 ;Op   ;YAs   ;   75.0;    500;        ;        ;        ; Alessi              ;?Theia 313
USC-A                 ;Sco ;241.74333300 ;-20.2241670 ;Op   ;Asc   ;  180.0;    142;        ;        ;        ; Alessi              ;?OPD 69
UBC 323               ;Sco ;253.89481890 ;-40.7506020 ;Op   ;OB:   ;   75.4;   1736;   -0.23;   -1.26;        ; 2020A&A...635A..45C ;Trumpler 24, Sco OB2, includes several clusters/groups
Theia 325             ;Sco ;256.32660200 ;-36.8516765 ;Op   ;Str   ;  963.5;    577;   -1.57;   -3.42;   -8.13; 2019AJ....158..122K ;4+ condensations
Theia 195             ;Sco ;258.42065900 ;-37.2787760 ;Op   ;Str   ; 1606.3;    801;    1.00;   -3.89;  -15.59; 2019AJ....158..122K ;check
Theia 303             ;Sco ;267.63397360 ;-38.3111293 ;Op   ;Str   ; 3617.1;    216;   -4.28;  -20.59;  -11.41; 2019AJ....158..122K ;many condensations
Sct OB3               ;Sct ;276.23418800 ;-14.2481099 ;Op   ;OC    ;  104.9;   1783;   -0.02;   -2.72;        ; Alessi (Gaia DR2)   ;poss matches: FoF 2115, FoF 2114, FoF 290, FoF 1640
Theia 595             ;Sct ;279.84699660 ; -6.2616673 ;Op   ;Str   ; 3653.5;    108;    8.30;   -5.37;  -20.55; 2019AJ....158..122K ;larger than 1 radian
Turner Sct OB         ;Sct ;280.88522390 ; -4.2145577 ;Op   ;OC    ;   86.3;   3030;   -0.65;   -2.57;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1670, FoF 2168, FoF 1654, UBC 353, FoF 456, FoF 2169, Dolidze 32
